"","k","seed","ncpts","nit","aicc"
"2562",15,166,1,100,-87.3046383541307
"2563",2,168,1,100,29.3091942065168
"2564",3,168,1,100,50.1866743455984
"2565",4,168,1,100,67.0718064147932
"2566",5,168,1,100,86.5887679477767
"2567",6,168,1,100,108.088027245141
"2568",7,168,1,100,138.410217997865
"2569",8,168,1,100,174.232457750916
"2570",9,168,1,100,236.526295288295
"2571",10,168,1,100,378.587270876178
"2572",11,168,1,100,1055.33679472032
"2573",12,168,1,100,-965.511792886471
"2574",13,168,1,100,-290.260930188569
"2575",14,168,1,100,-151.490656000533
"2576",15,168,1,100,-91.4841487288441
"2577",2,170,1,100,29.7323190678804
"2578",3,170,1,100,51.3868950731391
"2579",4,170,1,100,69.2366620519051
"2580",5,170,1,100,89.8554668160662
"2581",6,170,1,100,108.484614311634
"2582",7,170,1,100,134.071028906502
"2583",8,170,1,100,173.873710272865
"2584",9,170,1,100,237.185292716244
"2585",10,170,1,100,378.084234170104
"2586",11,170,1,100,1056.8785976521
"2587",12,170,1,100,-962.650733289077
"2588",13,170,1,100,-287.39365271971
